Probe ID,Gene Symbol,GenBank Accession,Adjusted p-value,GSM1249165,GSM1249166,GSM1249167,GSM1249170,GSM1249171,GSM1249172
A_51_P449956,Dnajc7,NM_019795,0.5796354,13.338,13.607,13.244,13.46,13.577,13.504
A_51_P174555,Ptrh2,NM_175004,0.5796961,8.309,8.668,8.108,8.351,8.658,8.678
A_52_P1132648,LOC102642523,AK080985,0.5796961,7.347,6.985,6.917,6.453,8.231,8.754
A_51_P419078,Mdn1,NM_001081392,0.5798367,10.919,11.396,11.753,11.439,11.715,11.711
A_52_P108447,Glis2,NM_031184,0.5798367,10.691,10.985,11.457,11.073,11.334,11.524
A_52_P164236,Fgd4,AK042588,0.5798367,8.149,8.012,7.499,7.406,7.627,7.883
A_52_P390918,Trip4,NM_019797,0.5798367,9.226,9.393,9.379,9.091,9.934,9.795
A_52_P92524,Kcnh4,NM_001081194,0.5799122,6.472,6.679,6.459,6.452,6.821,6.749
A_51_P150004,Gm5766,NR_003628,0.5799309,10.014,10.681,10.771,11.535,10.355,10.862
A_52_P125993,Sft2d3,NM_026006,0.5799309,9.942,8.779,9.704,9.159,10.625,10.433
A_52_P402786,Prom1,NM_008935,0.5799309,8.502,8.523,8.186,8.307,8.838,8.652
A_51_P120717,Lmnb1,NM_010721,0.5799347,9.117,8.8,9.355,8.54,10.334,10.282
A_51_P247175,Ints10,AK147743,0.5799347,10.176,10.923,10.848,10.855,10.945,10.884
A_51_P249268,D130043K22Rik,NM_001081051,0.5799347,9.72,9.689,10.092,9.802,9.426,9.737
A_51_P279100,Ptgs1,NM_008969,0.5799347,10.151,10.854,10.199,10.833,10.689,10.458
A_51_P500313,Abcf2,NM_013853,0.5799347,11.374,11.39,11.62,11.124,12.351,12.084
A_52_P246165,Ptprk,NM_008983,0.5799347,10.165,10.185,9.946,10.336,9.484,9.632
A_52_P526852,Eri1,NM_026067,0.5799347,8.705,8.757,8.066,8.57,9,8.744
A_52_P560792,Slc25a39,NM_026542,0.5799347,13.499,13.206,13.226,12.968,14.062,14.063
A_52_P626247,,,0.5799347,11.706,11.983,11.16,11.342,12.391,12.455
A_52_P679653,Ythdf2,AK083662,0.5799347,7.498,8.3,7.603,8.102,8.192,7.921
A_51_P413853,Tmco3,NM_172282,0.5801308,10.326,10.858,11.049,10.758,10.97,11.373
A_51_P157994,Dab2,NM_001037905,0.5803349,8.244,8.825,8.674,8.401,9.252,9.044
A_51_P283920,Rpl36a,NM_019865,0.5803349,14.613,14.007,14.619,14.889,14.396,14.722
A_51_P488799,Ythdf1,NM_173761,0.5803349,10.768,10.677,10.655,10.275,10.49,10.828
A_52_P152796,,,0.5803349,6.666,6.561,6.504,6.38,7.232,6.896
A_52_P254231,Yrdc,NM_153566,0.5803349,10.866,10.495,10.32,10.845,10.736,10.631
A_52_P328249,Pkm,AK083076,0.5803349,7.819,7.176,7.448,7.26,7.92,8.529
A_52_P358388,Ppp4r2,NM_182939,0.5803349,9.785,9.781,9.426,8.924,9.638,9.619
A_52_P469249,,,0.5803349,14.071,12.474,13.268,12.404,12.686,13.152
A_51_P270350,Esco1,NM_001081222,0.5803575,9.824,10.132,9.366,9.481,9.407,9.698
A_51_P333869,Ndnl2,NM_023239,0.5803575,12.242,12.72,12.266,12.555,12.118,11.488
A_51_P488673,Rack1,NM_008143,0.5803575,15.567,15.661,15.818,16.289,15.637,15.772
A_52_P275678,Gpr135,NM_181752,0.5803575,8.679,7.851,8.202,8.245,8.727,8.626
A_52_P14456,Srrm4,NM_026886,0.580471,11.203,12.004,11.573,11.86,12.056,11.659
A_51_P111612,Arrdc4,NM_001042592,0.5804877,9.341,10.35,9.603,9.936,9.085,8.938
A_52_P620355,Nrl,NM_008736,0.5804877,7.69,8.027,8.019,8.174,7.249,7.348
A_51_P294017,Ticam1,NM_174989,0.5805961,8.345,7.838,7.873,8.061,8.449,8.163
A_51_P351363,Tyms-ps,NR_000040,0.5805961,7.223,7.568,7.663,7.223,7.442,7.334
A_52_P1189140,,AK140790,0.5808872,7.981,8.888,8.021,7.851,9.465,9.46
A_52_P317923,Zfp948,NM_001002008,0.5808872,9.534,10.296,9.907,10.616,9.928,10.118
A_51_P147714,Sugp2,NM_172755,0.5809387,10.752,10.473,10.938,10.381,11.366,11.707
A_52_P331997,Zmiz1,NM_183208,0.5809387,9.445,8.897,9.013,8.52,10.473,10.387
A_51_P174645,Asl,NM_133768,0.5811819,10.153,10.285,10.421,10.014,10.792,11.016
A_51_P493234,Cp,NM_007752,0.5812352,9.484,9.167,9.345,9.335,9.99,9.379
A_51_P498267,Ankrd29,NM_001190371,0.5812352,11.05,10.918,11.402,10.873,11.86,11.665
A_52_P158576,Prpf40a,NM_018785,0.5812352,9.467,8.783,10.169,9.257,10.321,10.599
A_52_P592639,Gabbr1,NM_019439,0.5812352,10.02,10.371,9.942,9.291,10.257,9.835
A_51_P274789,Rai14,NM_030690,0.5813056,6.883,7.34,7.215,7.529,7.4,7.089
A_52_P65132,Senp2,AK053810,0.5813056,6.807,6.63,6.771,6.213,7.824,7.834
A_51_P353947,Il11ra1,NM_010549,0.5813751,12.494,12.636,12.664,12.212,13.499,13.336
A_51_P465148,Ctsb,NM_007798,0.5813751,15.275,15.587,15.43,15.342,15.761,15.667
A_51_P399334,Ube2z,NM_172300,0.5813794,11.531,11.401,12.182,11.385,12.563,12.597
A_51_P111455,Wdr77,NM_027432,0.5813815,8.485,8,8.889,8.516,8.812,8.917
A_52_P256244,,,0.5813815,6.836,6.792,7.069,6.735,7.229,7.399
A_52_P481957,Grem1,NM_011824,0.5813996,7.572,6.772,6.8,6.865,6.682,6.776
A_52_P592466,Rhoj,NM_023275,0.5814401,8.171,7.546,8.777,7.661,9.458,9.56
A_52_P609972,Eln,NM_007925,0.5814401,7.153,6.934,7.153,6.765,7.95,7.636
A_52_P182331,,,0.5814513,14.405,14.638,14.321,14.597,13.899,14.181
A_52_P49518,Otof,NM_031875,0.58149,6.773,6.944,7.174,6.739,7.432,7.61
A_52_P285470,Lrp2,NM_001081088,0.5816338,7.088,7.153,8.018,7.382,6.901,6.942
A_51_P311566,,,0.5818662,7.295,8.177,7.237,7.589,6.91,7.088
A_51_P144648,Vps13b,NM_177151,0.5819375,8.725,8.117,8.645,8.242,9.22,9.157
A_51_P418129,,AK041055,0.5819493,7.239,7.289,7.898,7.371,7.844,8.181
