Probe ID,Gene Symbol,GenBank Accession,Adjusted p-value,GSM1249165,GSM1249166,GSM1249167,GSM1249170,GSM1249171,GSM1249172
A_52_P1027662,,AK079499,0.004874074,6.779,6.79,6.773,7.538,7.531,7.561
A_52_P32453,1110020A21Rik,NR_027930,0.1418029,7.928,7.895,8.007,9.111,9.189,9.076
A_52_P351574,Plcb1,NM_019677,0.1418029,11.99,12.061,12.039,10.39,10.234,10.149
A_51_P398887,Ctns,NM_031251,0.1439335,11.06,11.051,11.06,11.531,11.604,11.596
A_52_P585699,Ciao1,NM_025296,0.1488298,9.978,9.985,10.04,10.644,10.722,10.648
A_51_P220723,B230118H07Rik,NM_026592,0.1742964,14.08,14.013,14.036,14.575,14.64,14.578
A_51_P159352,Sub1,NM_011294,0.1777211,13.238,13.323,13.204,12.366,12.456,12.311
A_51_P162083,Elfn2,NM_183141,0.1777211,10.998,10.794,10.774,9.451,9.22,9.404
A_51_P318933,Camk2b,NM_007595,0.1777211,15.978,15.91,15.965,15.397,15.421,15.343
A_51_P438028,Fam133b,AK020011,0.1777211,6.355,6.429,6.475,7.058,7.109,7.023
A_52_P121051,2610001J05Rik,NR_024619,0.1777211,12.485,12.596,12.488,13.105,13.078,13.088
A_52_P326399,Fkbp11,NM_024169,0.1777211,7.464,7.471,7.474,8.394,8.592,8.535
A_52_P331523,Brd9,NM_001024508,0.1777211,11.665,11.641,11.621,10.766,10.934,10.888
A_52_P413448,Vmp1,AK019443,0.1777211,8.714,8.53,8.626,9.495,9.575,9.602
A_52_P443676,9330119M13Rik,AK077865,0.1777211,6.469,6.641,6.628,7.555,7.491,7.571
A_52_P604735,Fbxl2,AK089994,0.1777211,7.156,7.263,7.145,7.892,7.873,7.963
A_51_P373461,Brcc3,NM_145956,0.1856992,12.089,11.952,11.974,12.696,12.754,12.671
A_52_P361338,Rab10os,AK005891,0.1856992,8.59,8.5,8.558,9.048,9.14,9.114
A_51_P194306,Lrrc1,NM_172528,0.1875682,9.888,10.034,9.866,10.704,10.803,10.767
A_51_P434041,Nkain4,NM_021426,0.1875682,12.95,12.962,12.83,13.691,13.761,13.629
A_52_P545608,Tnks1bp1,NM_001081260,0.1875682,11.282,10.955,11.15,9.818,9.768,9.735
A_51_P279997,Slc4a7,NM_001033270,0.189518,11.712,11.648,11.882,10.688,10.602,10.523
A_51_P298843,Pcbd2,NM_028281,0.2028552,11.445,11.461,11.357,12.006,12.1,11.988
A_51_P365656,Tmem101,NM_029649,0.2028552,11.55,11.491,11.552,12.118,11.995,12.078
A_52_P505192,Ntn3,NM_010947,0.2028552,9.082,9.034,9.036,9.564,9.458,9.542
A_51_P149872,,,0.2123665,6.899,6.987,6.983,7.38,7.446,7.383
A_51_P166648,Eva1c,NM_027627,0.2123665,9.458,9.567,9.558,10.518,10.315,10.287
A_51_P177965,Endou,NM_008902,0.2123665,7.209,7.408,7.324,8.089,8.251,8.273
A_51_P212183,Tmem261,NM_025849,0.2123665,11.618,11.576,11.534,11.949,12.032,12.039
A_51_P244792,Rgs17,NM_019958,0.2123665,10.566,10.598,10.529,11.006,10.926,10.917
A_51_P247114,,,0.2123665,6.091,6.04,6.191,7.885,8.178,8.483
A_51_P249286,Rgs16,NM_011267,0.2123665,9.821,9.698,9.548,10.972,10.736,10.907
A_51_P266143,Adpgk,NM_028121,0.2123665,9.601,9.604,9.515,10.083,10.256,10.156
A_51_P295846,Adgrb1,NM_174991,0.2123665,14.459,14.382,14.327,13.876,13.754,13.868
A_51_P314521,Smim11,NM_138743,0.2123665,11.783,11.623,11.622,12.432,12.338,12.336
A_51_P341832,Nthl1,NM_008743,0.2123665,7.67,7.655,7.897,8.569,8.52,8.611
A_51_P342773,Vipr2,NM_009511,0.2123665,6.668,6.612,6.895,8.706,9.174,9.345
A_51_P351238,Plgrkt,NM_026362,0.2123665,11.465,11.447,11.371,11.83,11.794,11.758
A_51_P367162,Psmb1,NM_011185,0.2123665,13.69,13.667,13.747,14.16,14.315,14.204
A_51_P371892,2700046A07Rik,NR_037693,0.2123665,6.419,6.519,6.421,7.495,7.222,7.307
A_51_P406466,Ankrd35,NM_001081139,0.2123665,9.837,9.95,9.999,10.636,10.781,10.736
A_51_P460739,,,0.2123665,6.697,6.613,6.832,7.761,7.668,7.891
A_51_P463303,,,0.2123665,8.352,8.307,8.591,9.769,9.508,9.784
A_51_P480679,D430036J16Rik,NR_040393,0.2123665,7.364,7.373,7.494,7.911,7.862,7.917
A_51_P519570,1600002K03Rik,NM_027207,0.2123665,10.505,10.483,10.465,10.957,11.14,11.081
A_52_P1116300,,AK079803,0.2123665,6.962,7.136,6.891,7.865,8.042,7.912
A_52_P117294,Fryl,AK036035,0.2123665,6.272,6.262,6.154,6.721,6.785,6.86
A_52_P14810,Chd3,NM_146019,0.2123665,9.832,9.464,9.599,7.916,8.21,7.996
A_52_P241751,2700046A07Rik,AK020725,0.2123665,8.018,7.999,8.105,9.262,9.667,9.659
A_52_P319438,Ankrd37,NM_001039562,0.2123665,9.802,9.755,9.707,10.605,10.816,10.91
A_52_P321978,Cldn34c1,NM_028426,0.2123665,7.229,7.148,7.28,8.028,8.248,8.137
A_52_P322389,Strn4,NM_133789,0.2123665,11.984,11.793,11.619,10.171,9.778,9.936
A_52_P392255,Rapgef5,NM_175930,0.2123665,8.721,8.399,8.71,7.164,7.094,7.38
A_52_P395835,,,0.2123665,6.594,6.609,6.617,7.014,7.152,7.02
A_52_P428699,C2,NM_013484,0.2123665,7.131,7.321,7.401,9.023,8.624,8.721
A_52_P466928,Synj2bp,NM_025292,0.2123665,9.481,9.503,9.418,10.1,10.02,10.191
A_52_P55732,Rnf13,NM_011883,0.2123665,9.863,9.746,9.866,10.72,10.505,10.603
A_52_P608495,Aars2,NM_198608,0.2123665,10.635,10.746,10.805,11.821,11.654,11.58
A_52_P621064,,BB728411,0.2123665,12.654,12.629,12.532,12.091,11.969,11.948
A_52_P665242,Ccdc90b,NM_025515,0.2123665,9.705,9.919,9.806,10.472,10.581,10.489
A_52_P666930,Thra,NM_178060,0.2123665,13.982,13.58,13.733,12.339,12.346,12.323
A_52_P670399,,,0.2123665,13.103,12.965,12.958,13.61,13.543,13.536
A_52_P674309,Mocs2,NM_013826,0.2123665,13.322,13.274,13.311,13.692,13.811,13.749
A_52_P86424,Eya4,NM_010167,0.2123665,7.021,6.915,6.934,6.556,6.593,6.593
A_51_P464387,Hspb8,NM_030704,0.2136497,9.793,9.894,9.926,11.062,11.531,11.429
A_52_P397755,Ndufc1,AK028011,0.21459,6.819,6.818,6.681,7.391,7.274,7.35
A_51_P167535,Fabp3,NM_010174,0.2160123,13.52,13.381,13.535,14.058,13.99,13.987
A_52_P650540,Nlrp3,NM_145827,0.2170926,6.719,6.588,6.729,7.331,7.536,7.393
A_51_P130660,Mrps30,NM_021556,0.2186456,11.321,11.189,11.196,11.672,11.642,11.646
A_51_P213666,Psma8,NM_001163609,0.2186456,7.055,7.11,6.973,7.545,7.603,7.49
A_51_P233788,Dmap1,NM_023178,0.2186456,12.317,12.309,12.381,12.778,12.941,12.933
A_51_P264053,Pigf,NM_008838,0.2186456,10.778,10.873,11.003,11.7,11.564,11.601
A_51_P286995,3110001I22Rik,NM_025653,0.2186456,7.546,7.633,7.459,8.026,8.04,8.011
A_51_P464838,Il17rb,AF208109,0.2186456,6.939,7.086,7.086,7.524,7.587,7.612
A_51_P519276,Ndufb7,NM_025843,0.2186456,15.032,14.928,15.043,15.409,15.452,15.513
A_52_P268764,Fn3k,NM_001038699,0.2186456,6.638,6.827,6.719,7.477,7.7,7.513
A_52_P58181,Suclg2,NM_011507,0.2186456,9.269,9.318,9.227,10.081,10.381,10.119
A_52_P680935,Ghr,NM_001048178,0.2186456,7.473,7.638,7.544,7.996,8.023,8.028
A_51_P380801,Dram2,NM_026013,0.2200783,10.67,10.85,10.749,11.469,11.316,11.399
A_52_P916422,,AK141418,0.2200783,6.402,6.286,6.317,6.851,6.997,6.848
A_51_P160389,4930470F04Rik,AK015532,0.2203454,6.266,6.277,6.324,6.583,6.594,6.68
A_51_P148163,Cpsf3l,NM_028020,0.2347351,10.658,10.518,10.64,11.114,11.342,11.287
A_51_P187171,Smim12,NM_030252,0.2347351,13.189,13.346,13.41,13.892,14.018,13.91
A_51_P188704,Unc13a,AK170263,0.2347351,7.951,7.908,7.893,8.785,9.255,9.003
A_51_P198274,Ap4s1,NM_021710,0.2347351,14.208,14.243,14.37,14.851,14.969,14.816
A_51_P204486,Exoc3l4,NM_028807,0.2347351,8.094,8.141,8.778,11.195,10.896,10.481
A_51_P205573,Ndufb11,NM_019435,0.2347351,15.391,15.432,15.567,16.045,15.914,16.013
A_51_P217517,Mmel1,NM_013783,0.2347351,7.486,7.862,7.75,9.372,9.893,10.221
A_51_P232187,Vwa3a,AK086942,0.2347351,7.24,7.393,7.274,6.906,6.84,6.793
A_51_P241715,,,0.2347351,6.584,6.577,6.423,6.916,6.941,6.948
A_51_P256759,Atraid,NM_027855,0.2347351,13.586,13.574,13.448,13.907,13.875,13.879
A_51_P276063,Phyh,NM_010726,0.2347351,13.319,13.359,13.271,13.745,13.761,13.903
A_51_P277536,Ramp2,NM_019444,0.2347351,13.532,13.525,13.598,13.143,13.223,13.059
A_51_P291815,Adam15,NM_001037722,0.2347351,11.959,11.992,12.059,12.452,12.37,12.326
A_51_P308948,Tamm41,NM_026894,0.2347351,11.992,11.878,12.05,12.513,12.497,12.639
A_51_P311659,Gnaq,AK031823,0.2347351,13.552,13.626,13.383,12.765,12.487,12.712
A_51_P314277,Parp1,NM_007415,0.2347351,11.915,12.064,12.029,11.594,11.657,11.641
A_51_P314418,Blm,NM_007550,0.2347351,8.554,8.771,8.49,9.449,9.534,9.352
A_51_P332141,Clcn2,NM_009900,0.2347351,11.465,11.283,11.382,11.907,12.014,12.049
A_51_P346491,Syn2,NM_001111015,0.2347351,12.897,12.575,12.589,11.876,11.757,11.772
A_51_P365952,Trdmt1,NM_010067,0.2347351,9.199,9.1,9.372,9.884,10.043,10.093
A_51_P376883,Ift43,NM_029601,0.2347351,11.462,11.321,11.598,12.211,12.51,12.394
A_51_P380685,Stoml2,NM_023231,0.2347351,11.402,11.119,11.314,11.98,12.218,12.105
A_51_P384618,Dhdds,NM_026144,0.2347351,11.942,12.068,12.076,12.464,12.46,12.413
A_51_P386660,Faah,NM_010173,0.2347351,10.394,10.167,10.575,9.36,9.332,9.214
A_51_P408989,L3hypdh,NM_026038,0.2347351,7.599,7.644,7.165,8.782,8.939,8.703
A_51_P423653,Abt1,NM_013924,0.2347351,11.336,11.211,11.319,11.666,11.763,11.709
A_51_P440365,Frrs1,NM_009146,0.2347351,7.403,7.477,7.534,7.081,7.03,7.131
A_51_P443819,Pdzph1,NM_027001,0.2347351,8.683,8.619,8.602,9.002,8.922,8.915
A_51_P444041,Trmt11,NM_028604,0.2347351,9.754,9.772,9.763,10.115,10.323,10.236
A_51_P452203,Vash2,NM_144879,0.2347351,6.647,6.715,6.612,7.386,7.724,7.759
A_51_P461675,Mocs2,AF091872,0.2347351,12.792,12.617,12.676,13.195,13.31,13.182
A_51_P473456,Ppil2,NM_144954,0.2347351,13,12.923,13.016,13.234,13.279,13.231
A_51_P475523,Brca1,NM_009764,0.2347351,7.763,7.7,7.752,7.96,8.024,8.036
A_51_P475646,,,0.2347351,8.458,8.324,8.387,7.927,7.798,7.97
A_51_P491279,,,0.2347351,7.357,7.334,7.169,7.901,8.051,7.872
A_51_P493709,2810474C18Rik,AK013405,0.2347351,6.946,7.133,7.143,7.573,7.632,7.686
A_51_P502026,Rab33b,NM_016858,0.2347351,10.336,10.278,10.231,10.874,10.707,10.863
A_51_P517680,Fntb,NM_145927,0.2347351,7.475,7.582,7.637,8.085,8.275,8.254
A_52_P103377,Hnrnpll,BC071184,0.2347351,7.612,7.689,7.682,8.114,8.343,8.225
A_52_P106789,Rbm18,NM_026434,0.2347351,12.69,12.712,12.841,13.161,13.155,13.132
A_52_P115402,Pcif1,AK009480,0.2347351,10.219,10.031,10.206,10.888,10.764,10.765
A_52_P1180340,,AK039493,0.2347351,7.524,7.562,7.184,8.617,8.566,8.458
A_52_P128134,Foxd1,NM_008242,0.2347351,7.786,8.044,8.039,8.791,9.119,8.931
A_52_P134146,Lyrm9,NM_001076681,0.2347351,7.792,7.931,8.054,8.671,8.846,8.891
A_52_P150651,Cog5,NM_001163126,0.2347351,7.638,7.64,7.624,7.301,7.253,7.376
A_52_P174942,Nrp1,AK040447,0.2347351,8.32,8.585,8.567,7.411,7.007,7.112
A_52_P185136,,,0.2347351,7.097,7.181,7.08,7.434,7.492,7.543
A_52_P193233,Trnau1ap,NM_027925,0.2347351,11.303,11.144,11.145,11.841,12.008,11.776
A_52_P198875,Gle1,AK029395,0.2347351,8.28,8.162,8.397,9.26,9.671,9.752
A_52_P199776,Snhg7,NR_024068,0.2347351,8.927,8.936,8.914,9.17,9.107,9.088
A_52_P201311,Tmpo,NM_001080129,0.2347351,10.198,10.182,10.256,10.502,10.582,10.628
A_52_P215418,Armc9,NM_027456,0.2347351,10.166,10.209,10.154,9.742,9.716,9.854
A_52_P243152,Disp1,NM_026866,0.2347351,7.619,7.693,8.04,8.825,9.041,8.853
A_52_P263289,Xntrpc///Xndc1///Trpc2,AK030267,0.2347351,8.89,9.004,8.925,9.548,9.352,9.466
A_52_P267564,Creb5,NM_172728,0.2347351,7.917,8.126,7.914,8.676,8.711,8.871
A_52_P274400,Adgrb3,NM_175642,0.2347351,11.408,11.381,11.173,10.675,10.515,10.66
A_52_P295906,Ammecr1l,NM_001242430,0.2347351,10.491,10.531,10.397,10.938,11.014,11.103
A_52_P300730,Hmga2,NM_010441,0.2347351,6.432,6.269,6.244,6.878,6.787,6.841
A_52_P306217,Vps13a,NM_173028,0.2347351,10.306,10.188,10.188,9.583,9.729,9.758
A_52_P317524,Klhl15,NM_153165,0.2347351,6.981,7.076,7.07,7.558,7.533,7.397
A_52_P327467,Med7,NM_025426,0.2347351,12.111,12.046,11.961,12.407,12.441,12.387
A_52_P348189,Krtcap3,NM_027221,0.2347351,7.237,7.319,7.422,7.958,8.099,8.191
A_52_P42946,Dnajc24,NM_026992,0.2347351,9.254,9.481,9.422,10.112,10.197,10.04
A_52_P436564,Cdh20,NM_011800,0.2347351,11.383,11.179,11.321,11.98,12.289,12.2
A_52_P454921,,,0.2347351,6.787,6.771,6.816,7.023,6.982,6.957
A_52_P455764,Pard6b,NM_021409,0.2347351,7.062,7.172,7.119,7.787,8.121,7.955
A_52_P457028,,AK084451,0.2347351,8.215,7.874,8.197,9.037,9.232,9.209
A_52_P475052,Ttyh1,AK020820,0.2347351,7.298,7.374,7.497,7.904,8.01,8.012
A_52_P478420,Cyp2d22,AK086555,0.2347351,7.33,7.299,7.301,7.89,7.792,8.052
A_52_P505584,Oard1,NM_207219,0.2347351,9.668,9.565,9.76,10.252,10.488,10.482
A_52_P505827,Cyb5r4,NM_024195,0.2347351,9.353,9.294,9.227,9.895,10.074,9.838
A_52_P507626,Nbea,NM_030595,0.2347351,10.803,10.909,10.77,10.223,10.082,10.314
A_52_P512767,C330007P06Rik,NM_029951,0.2347351,9.051,9.188,9.038,8.608,8.613,8.702
A_52_P517683,Tagln,NM_011526,0.2347351,8.128,8.057,7.888,7.384,7.268,7.214
A_52_P521101,Tcf4,NM_013685,0.2347351,9.006,9.013,9.195,8.29,7.958,8.015
A_52_P5406,1700008O03Rik,NM_027049,0.2347351,6.702,6.624,6.6,7.041,6.989,6.928
A_52_P544032,Cnot6,NM_212484,0.2347351,9.884,9.533,9.674,10.495,10.488,10.455
A_52_P560113,H2-Bl,AK089085,0.2347351,6.111,5.949,6.023,7.04,7.258,7.568
A_52_P566030,Polr3k,NM_025901,0.2347351,10.567,10.374,10.639,11.224,11.278,11.299
A_52_P59681,Rida,NM_008287,0.2347351,11.655,11.484,11.686,12.398,12.382,12.619
A_52_P617838,,,0.2347351,6.981,6.927,6.885,7.299,7.42,7.314
A_52_P633785,Gm11696,NR_038097,0.2347351,8.173,8.282,8.237,8.526,8.481,8.529
A_52_P84311,Ptpro,NM_011216,0.2347351,7.787,7.834,7.735,7.159,6.927,7.15
A_52_P85765,Stard6,NM_029019,0.2347351,6.574,6.65,6.727,7.034,6.98,7.019
A_52_P409675,Wdr11,NM_172255,0.2357891,9.635,9.769,9.568,9.124,8.964,9.109
A_52_P3754,Immp1l,NM_028260,0.2363063,10.307,10.107,10.321,10.857,10.777,10.916
A_51_P442072,,,0.2366113,8.389,8.542,8.18,7.55,7.321,7.339
A_51_P119760,H2-Aa,NM_010378,0.2370273,6.259,6.262,6.604,7.327,7.225,7.246
A_52_P18229,Pdik1l,NM_146156,0.2370273,9.166,9.216,9.23,10.029,9.74,9.825
A_52_P200244,Sptlc2,NM_011479,0.2370273,9.611,9.719,9.743,10.219,10.415,10.209
A_52_P636410,Ptpn14,NM_008976,0.2403804,6.842,6.937,6.841,6.612,6.631,6.64
A_51_P393862,Spryd4,NM_025716,0.2423316,8.396,8.434,8.462,8.823,9.052,8.976
A_51_P469449,Ung,NM_001040691,0.2423316,8.155,8.622,8.318,9.359,9.557,9.568
A_52_P134899,Zfp2,NM_001044698,0.2423316,7.369,7.399,7.167,7.934,8.022,7.871
A_52_P242888,Ddx50,BC071265,0.2423316,9.488,9.53,9.549,10.214,10.026,10.33
A_52_P552893,Tsr3,NM_026676,0.2423316,11.196,11.274,11.371,11.831,11.713,11.715
A_52_P661033,Tpm3,NM_022314,0.2423316,14.191,14.064,13.965,13.468,13.582,13.537
A_51_P133369,Scly,NM_016717,0.2437873,10.31,10.004,10.191,10.801,10.906,10.898
A_51_P491350,Col4a2,NM_009932,0.2437873,9.619,9.559,9.663,8.995,9.162,9.19
A_52_P1068292,,AK050741,0.2437873,8.08,8.311,8.119,8.806,8.69,8.811
A_52_P51769,,AK054507,0.2437873,8.063,8.293,8.447,9.117,9.359,9.233
A_51_P211488,Cptp,NM_024472,0.2445547,8.989,9.023,9.144,9.77,10.177,10.064
A_51_P200586,March8,NM_027920,0.2473768,13.091,13.148,13.062,13.585,13.717,13.493
A_51_P217967,1810037I17Rik,NM_024461,0.2473768,13.61,13.463,13.579,14.104,14.33,14.407
A_51_P227004,Cks1b,NM_016904,0.2473768,9.106,8.843,9.258,9.912,10.015,9.983
A_51_P237783,Foxd1,NM_008242,0.2473768,8.263,8.247,8.285,8.84,9.156,8.894
A_51_P290819,Hint3,NM_025798,0.2473768,9.15,9.194,9.449,9.983,9.929,10.064
A_51_P303332,Mitd1,BC020137,0.2473768,7.909,7.949,7.977,8.43,8.276,8.283
A_51_P305997,Hnrnpf,NM_133834,0.2473768,14.296,14.209,14.243,14.619,14.838,14.751
A_51_P356389,A330106F07Rik,AK039774,0.2473768,6.644,6.649,6.541,7.026,7.03,7.195
A_51_P364632,Sh3bp2,NM_011893,0.2473768,7.093,6.972,7.099,7.593,7.627,7.839
A_51_P375987,Fign,NM_021716,0.2473768,6.853,6.856,7.191,8.124,8.392,8.696
A_51_P434659,Sipa1l1,NM_172579,0.2473768,14.187,14.233,14.209,13.355,12.986,12.801
A_51_P520585,Rhebl1,NM_026967,0.2473768,10.252,10.153,10.307,10.983,11.369,11.388
A_52_P1179890,,AK038886,0.2473768,7.103,7.099,6.899,7.59,7.709,7.553
A_52_P163640,Ccdc126,NM_175098,0.2473768,8.996,9.178,9.078,9.601,9.595,9.476
A_52_P17592,,,0.2473768,6.49,6.478,6.465,6.819,7.019,6.875
A_52_P451268,,,0.2473768,6.862,6.771,6.964,7.373,7.277,7.401
A_52_P608322,Maff,NM_010755,0.2473768,8.112,8.467,8.39,9.205,9.38,9.159
A_52_P665723,D5Ertd579e,AK032804,0.2473768,7.623,7.352,7.438,8.446,8.581,8.929
A_52_P72575,Zfp606,NM_026112,0.2473768,7.674,7.849,7.702,8.211,8.247,8.385
A_52_P106537,Chrac1,NM_053068,0.2499836,10.267,10.032,10.238,10.733,10.697,10.696
A_52_P11433,B130006D01Rik,NR_028263,0.2499836,6.824,6.713,6.696,7.143,7.257,7.347
A_51_P194999,Tars2,NM_027931,0.2537486,11.683,11.622,11.652,11.949,11.895,12.033
A_51_P242027,Ywhab,NM_018753,0.2537486,11.42,11.615,11.428,10.585,10.779,10.872
A_51_P294402,Scarf2,NM_153790,0.2537486,6.889,6.802,6.746,7.342,7.489,7.26
A_51_P388696,Ndufs4,NM_010887,0.2537486,13.495,13.62,13.577,14.012,13.874,13.944
A_52_P517001,Rpf1,NM_027371,0.2537486,10.647,10.645,10.575,11.288,11.174,11.033
A_51_P164504,Apoc1,NM_007469,0.2556228,9.108,9.03,9.538,10.722,11.028,10.503
A_52_P366932,Gna11,NM_010301,0.2556228,12.253,12.262,12.233,11.972,11.818,11.947
A_52_P445316,0610009B22Rik,NM_025319,0.2556228,12.24,12.116,12.401,12.81,12.84,12.849
A_51_P513991,Spag4,NM_139151,0.259794,7.694,7.72,7.939,8.35,8.302,8.341
A_52_P424308,Sybu,NM_176998,0.259981,13.588,13.543,13.702,13.27,13.212,13.279
A_52_P101838,,,0.2604889,7.815,7.673,7.818,8.309,8.414,8.199
A_52_P178383,Scyl2,AK136092,0.2604889,8.982,8.743,8.99,9.957,9.611,9.807
A_52_P448648,Rab37,NM_021411,0.2604889,7.405,7.691,7.879,9.441,10.349,10.473
A_51_P343356,Isoc2b,NM_026158,0.2619044,9.922,9.775,9.991,10.579,10.965,10.784
A_52_P32683,Hcfc2,AK040565,0.2619044,11.709,11.636,11.837,10.887,11.029,11.175
A_51_P128786,Plppr5,NM_029425,0.2631532,10.265,10.627,10.661,9.443,9.58,9.239
A_51_P286865,Wdr33,NM_001170966,0.2631532,10.48,10.422,10.614,11.199,11.573,11.586
A_51_P423547,Mzt2,NM_029354,0.2631532,12.128,11.972,12.3,12.826,12.765,12.782
A_51_P102782,Bckdhb,NM_199195,0.2632478,11.04,10.83,11.023,11.536,11.812,11.834
A_51_P122238,Uchl5,NM_019562,0.2632478,13.242,13.537,13.322,14.02,13.972,14.155
A_51_P137604,Fcna,NM_007995,0.2632478,6.45,6.206,6.399,6.94,6.942,6.812
A_51_P138341,Aptx,NM_025545,0.2632478,10.575,10.476,10.596,10.969,10.92,10.832
A_51_P147942,Igf1,NM_010512,0.2632478,7.312,7.258,7.407,7.588,7.621,7.621
A_51_P164270,Snrpa1,NM_021336,0.2632478,11.196,11.31,11.5,11.933,12.001,12.142
A_51_P168203,Aig1,NM_025446,0.2632478,7.469,7.36,7.563,8.134,8.531,8.432
A_51_P194765,Anapc10,NM_026904,0.2632478,11.07,11.207,11.21,11.634,11.904,11.749
A_51_P200068,Arf3,NM_007478,0.2632478,15.362,14.901,14.675,13.691,13.463,13.3
A_51_P209401,Aamdc,NM_001177946,0.2632478,10.444,10.424,10.722,11.217,11.326,11.148
A_51_P243646,Gm4922,NM_177706,0.2632478,6.793,6.804,6.865,7.203,7.218,7.066
A_51_P269634,Zfp14,NM_011748,0.2632478,9.592,9.806,9.437,10.385,10.303,10.309
A_51_P295237,Lrp11,NM_172784,0.2632478,13.892,14.107,14.18,13.53,13.399,13.47
A_51_P296878,Triqk,NM_173746,0.2632478,10.33,10.477,10.588,11.061,11.159,10.965
A_51_P310896,Pfkl,NM_008826,0.2632478,13.469,13.034,13.352,12.455,12.17,12.3
A_51_P318182,9530057J20Rik,AK020613,0.2632478,10.467,10.193,10.463,11.287,11.276,11.006
A_51_P326051,Sppl2a,NM_023220,0.2632478,8.879,8.948,8.747,8.319,8.281,8.454
A_51_P341296,Dmrtb1,NM_019872,0.2632478,6.463,6.395,6.323,6.843,6.72,6.715
A_51_P371034,Rgs9,NM_011268,0.2632478,9.615,9.359,9.407,8.487,8.124,8.576
A_51_P375207,Gm19522,NR_040402,0.2632478,7.086,7.027,7.083,7.19,7.189,7.208
A_51_P379552,Nwd2,NM_177006,0.2632478,11.236,11.438,11.038,10.497,10.41,10.268
A_51_P386539,Rnf125,NM_026301,0.2632478,7.446,7.512,7.681,8.089,7.998,7.996
A_51_P388298,Mmachc,NM_025962,0.2632478,10.002,10.234,10.083,10.523,10.634,10.652
A_51_P407323,F5,NM_007976,0.2632478,8.487,8.752,9.024,7.777,7.618,7.535
A_51_P430423,Ada,NM_007398,0.2632478,8.677,8.992,8.724,9.408,9.531,9.507
A_51_P446510,Emp3,NM_010129,0.2632478,7.633,7.406,7.632,8.282,8.489,8.202
A_51_P454300,Supt4a,NM_009296,0.2632478,12.459,12.214,12.471,12.928,13.115,13.128
A_51_P470295,,BG073133,0.2632478,8.727,8.523,8.548,9.158,9.471,9.44
A_51_P471830,Catsper2,NM_153075,0.2632478,8.683,8.753,8.57,9.082,9.295,9.231
A_51_P475948,Elmo3,AK048129,0.2632478,8.204,8.488,8.557,9.139,9.162,9.097
A_51_P482968,C030005H24Rik,AK021047,0.2632478,6.669,6.765,6.783,7.322,7.606,7.696
A_51_P487027,Kcnk2,NM_010607,0.2632478,8.401,8.863,8.853,7.756,7.596,7.735
A_51_P495700,Ccdc28b,NM_025455,0.2632478,8.084,7.892,8.14,8.617,8.909,8.877
A_51_P515605,Col3a1,NM_009930,0.2632478,8.233,7.974,8.377,8.98,9.193,9.135
A_51_P521010,Ppp1r3c,NM_016854,0.2632478,8.827,8.765,8.839,8.326,8.367,8.523
A_52_P100222,Psmc2,AK083989,0.2632478,7.066,6.871,6.77,7.706,7.896,7.575
A_52_P10023,Ube2r2,NM_026275,0.2632478,8.641,8.683,8.624,9.007,9.238,9.237
A_52_P100252,Fasn,NM_007988,0.2632478,9.227,9.154,8.996,9.683,9.561,9.627
A_52_P1117630,Kdm2a,AK169873,0.2632478,7.588,8.08,7.865,8.962,9.041,9.372
A_52_P1157176,,BB160563,0.2632478,7.264,7.502,7.374,8.061,7.868,7.974
A_52_P115996,Thrap3,BC026580,0.2632478,7.581,7.279,7.668,8.628,8.313,8.655
A_52_P116184,Gm2795,AK045720,0.2632478,6.536,6.357,6.58,7.012,6.942,6.936
A_52_P15166,,,0.2632478,6.68,6.898,6.754,7.172,7.22,7.194
A_52_P15377,Wnt9b,NM_011719,0.2632478,6.891,7,7.028,7.936,8.425,7.917
A_52_P177473,,AK037171,0.2632478,7.551,7.525,7.647,8.075,8,8.256
A_52_P190878,,AK033329,0.2632478,7.455,7.417,7.431,8.039,8.11,8.402
A_52_P195602,Cplx2,NM_009946,0.2632478,12.231,12.181,11.633,10.34,10.783,10.58
A_52_P244381,2900093K20Rik,AK013849,0.2632478,8.536,8.197,8.147,9.074,9.177,9.191
A_52_P276792,Foxp1,NM_053202,0.2632478,10.58,9.904,10.278,8.968,9.003,9.011
A_52_P279651,Zbtb20,NM_019778,0.2632478,12.78,12.533,12.073,11.136,11.035,11.046
A_52_P308386,,AK002949,0.2632478,9.795,9.846,9.608,10.491,10.282,10.333
A_52_P309423,Pkn2,NM_178654,0.2632478,9.153,8.998,8.975,9.383,9.414,9.407
A_52_P314299,A930006K02Rik,NR_077219,0.2632478,6.09,6.092,6.187,6.459,6.603,6.666
A_52_P343343,Rpl7l1,NM_025433,0.2632478,8.769,8.918,8.752,9.274,9.54,9.497
A_52_P376502,Camk1d,NM_177343,0.2632478,11.44,11.026,10.797,9.517,9.598,9.904
A_52_P386837,Trmu,NM_028063,0.2632478,10.237,10.211,10.157,10.724,11.102,10.933
A_52_P396774,2700094K13Rik,NM_001037279,0.2632478,11.439,11.714,11.789,12.386,12.706,12.576
A_52_P400967,Arl13b,NM_026577,0.2632478,9.026,8.993,8.868,9.35,9.567,9.517
A_52_P446457,Ly6g6f,NM_001163192,0.2632478,6.573,6.609,6.546,7.027,7.274,7.346
A_52_P460185,,,0.2632478,6.493,6.698,6.59,7.159,7.017,7.048
